SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
17091,10.38,2.06,-1.33,-49.2,-34.5,69.3,201,27,-1172
17092,10.86,2.57,-1.07,-46.4,-10.1,56.7,161,12,-1180
17093,11.01,2.91,-0.79,-38.7,1.8,45.3,158,7,-1185
17094,10.83,3.21,-0.96,-26.9,2.6,37.5,138,37,-1165
17095,10.40,3.30,-1.39,-12.5,0.1,34.2,121,32,-1182
17096,10.01,3.13,-1.90,1.1,1.0,28.8,116,20,-1195
17097,9.93,3.11,-2.44,14.5,4.0,18.0,87,35,-1195
17098,10.25,3.34,-2.97,31.6,0.3,6.3,77,27,-1200
17099,10.50,3.52,-3.17,51.5,-8.5,-5.9,80,10,-1195
17100,10.76,3.51,-3.40,69.2,-12.5,-21.4,77,0,-1210
17101,11.18,3.31,-3.86,81.9,-7.6,-43.0,72,-17,-1207
17102,11.74,3.08,-4.34,86.8,2.1,-64.9,85,-37,-1192
17103,11.86,2.99,-4.67,85.5,14.5,-74.7,108,-40,-1205
17104,11.66,2.97,-4.67,83.1,25.6,-74.7,128,-42,-1182
17105,10.93,2.74,-4.40,82.0,32.5,-74.4,138,-40,-1172
